SR. NO.,ACC_X,ACC_Y,ACC_Z,ROTATION_X,ROTATION_Y,ROTATION_Z,TEMP C lm35,TEMP F lm 35,galvanic skin response,Heartrate,bpm/SpO2
49,-0.03,-0.05,0.89,-18.34,-0.95,-1.91,13.13,55.64,510,0.00,0.00
0,-0.03,-0.04,0.89,-18.95,-1.05,-2.24,11.60,52.88,516,0.00,0.00
1,-0.03,-0.05,0.88,-18.70,-0.79,-2.22,14.02,57.23,512,0.00,0.00
2,-0.03,-0.04,0.89,-18.58,-1.08,-2.21,10.15,50.27,512,0.00,0.00
3,-0.04,-0.05,0.89,-18.58,-0.99,-2.11,12.49,54.48,510,0.00,0.00
4,-0.03,-0.05,0.88,-18.46,-0.90,-2.14,14.58,58.25,512,0.00,0.00
5,-0.03,-0.04,0.89,-18.58,-0.86,-2.11,14.42,57.96,513,0.00,0.00
6,-0.03,-0.05,0.89,-18.46,-0.85,-2.21,14.18,57.52,507,0.00,0.00
7,-0.02,-0.05,0.89,-18.58,-1.02,-2.19,13.13,55.64,507,0.00,0.00
8,-0.03,-0.05,0.89,-18.58,-0.93,-2.27,14.90,58.83,506,0.00,0.00
9,-0.03,-0.05,0.88,-18.70,-1.01,-2.16,15.47,59.84,513,0.00,0.00
10,-0.03,-0.04,0.89,-18.58,-0.99,-2.20,12.00,53.61,507,0.00,0.00
11,-0.03,-0.04,0.89,-18.58,-1.05,-2.37,12.25,54.04,512,0.00,0.00
12,-0.03,-0.05,0.89,-18.46,-0.99,-2.19,12.49,54.48,514,0.00,0.00
13,-0.03,-0.04,0.89,-18.46,-1.03,-2.20,14.90,58.83,512,0.00,0.00
14,-0.03,-0.05,0.89,-18.58,-1.04,-2.23,12.73,54.91,512,0.00,0.00
15,-0.03,-0.04,0.89,-18.46,-0.97,-2.30,11.60,52.88,512,0.00,0.00
16,-0.03,-0.05,0.88,-18.46,-0.98,-2.21,10.47,50.85,509,0.00,0.00
17,-0.03,-0.04,0.89,-18.58,-1.15,-2.31,12.17,53.90,508,0.00,0.00
18,-0.03,-0.05,0.89,-18.46,-1.07,-2.21,14.42,57.96,518,0.00,0.00
19,-0.03,-0.05,0.88,-18.58,-0.95,-2.12,12.89,55.20,508,0.00,0.00
20,-0.03,-0.05,0.88,-18.46,-1.03,-2.22,13.37,56.07,504,0.00,0.00
21,-0.03,-0.05,0.88,-18.46,-0.89,-2.20,15.47,59.84,510,0.00,0.00
22,-0.03,-0.05,0.89,-18.58,-0.97,-2.00,11.20,52.16,511,0.00,0.00
23,-0.04,-0.05,0.89,-18.58,-1.30,-2.28,12.33,54.19,509,0.00,0.00
24,-0.03,-0.04,0.88,-18.34,-1.05,-2.19,14.34,57.81,510,0.00,0.00
25,-0.03,-0.05,0.88,-18.34,-1.01,-2.13,14.18,57.52,511,0.00,0.00
26,-0.03,-0.04,0.89,-18.46,-0.97,-2.33,15.31,59.55,510,0.00,0.00
27,-0.03,-0.04,0.89,-18.46,-0.88,-2.02,11.60,52.88,509,0.00,0.00
28,-0.03,-0.04,0.89,-18.34,-0.95,-2.26,10.63,51.14,513,0.00,0.00
29,-0.03,-0.04,0.89,-18.34,-1.08,-2.15,14.50,58.10,506,0.00,0.00
30,-0.03,-0.05,0.89,-18.70,-1.03,-2.33,12.49,54.48,509,0.00,0.00
31,-0.03,-0.05,0.88,-18.58,-0.97,-2.11,15.55,59.99,508,0.00,0.00
32,-0.03,-0.05,0.88,-18.21,-1.14,-2.15,13.70,56.65,511,0.00,0.00
33,-0.03,-0.04,0.89,-18.46,-1.11,-2.16,11.60,52.88,514,0.00,0.00
34,-0.03,-0.04,0.89,-18.58,-1.24,-2.20,12.08,53.75,511,0.00,0.00
35,-0.02,-0.04,0.89,-18.58,-1.04,-2.11,14.34,57.81,508,0.00,0.00
36,-0.02,-0.04,0.89,-18.46,-0.70,-2.21,11.84,53.32,508,0.00,0.00
37,-0.03,-0.05,0.89,-18.46,-1.00,-2.12,13.78,56.80,512,0.00,0.00
38,-0.03,-0.05,0.90,-18.21,-1.26,-2.16,14.18,57.52,511,0.00,0.00
39,-0.03,-0.04,0.89,-18.58,-0.87,-2.39,13.37,56.07,514,0.00,0.00
40,-0.03,-0.05,0.89,-18.46,-1.01,-2.18,13.94,57.09,510,0.00,0.00
41,-0.02,-0.05,0.89,-18.46,-1.01,-2.21,12.41,54.33,508,0.00,0.00
42,-0.03,-0.04,0.88,-18.58,-0.85,-2.30,11.60,52.88,514,0.00,0.00
43,-0.03,-0.05,0.89,-18.58,-1.13,-2.12,12.00,53.61,519,0.00,0.00
44,-0.03,-0.04,0.89,-18.46,-0.89,-2.18,13.13,55.64,510,0.00,0.00
45,-0.03,-0.05,0.89,-18.58,-1.16,-2.25,13.37,56.07,512,0.00,0.00
46,-0.03,-0.05,0.89,-18.46,-0.98,-2.27,13.94,57.09,512,0.00,0.00
47,-0.03,-0.04,0.89,-18.70,-1.16,-2.27,14.18,57.52,502,0.00,0.00
48,-0.03,-0.05,0.89,-18.34,-0.94,-2.12,14.26,57.67,509,0.00,0.00
49,-0.03,-0.05,0.89,-18.58,-0.96,-2.07,11.52,52.74,515,0.00,0.00
