SR. NO.,ACC_X,ACC_Y,ACC_Z,ROTATION_X,ROTATION_Y,ROTATION_Z,TEMP C lm35,TEMP F lm 35,galvanic skin response,Heartrate,bpm/SpO2
10,-0.03,-0.04,0.88,-18.58,-1.24,-2.28,15.07,59.12,512,0.00,0.00
11,-0.03,-0.04,0.88,-18.46,-0.98,-2.18,14.66,58.39,515,0.00,0.00
12,-0.03,-0.04,0.89,-18.34,-0.98,-2.47,14.90,58.83,514,0.00,0.00
13,-0.03,-0.04,0.89,-18.34,-0.98,-2.19,14.10,57.38,512,0.00,0.00
14,-0.03,-0.04,0.90,-18.70,-1.09,-2.25,13.21,55.78,512,0.00,0.00
15,-0.03,-0.05,0.89,-18.46,-1.08,-2.31,11.68,53.03,513,0.00,0.00
16,-0.03,-0.05,0.89,-18.70,-1.02,-2.29,14.18,57.52,510,0.00,0.00
17,-0.03,-0.05,0.89,-18.46,-1.11,-2.16,11.60,52.88,503,0.00,0.00
18,-0.03,-0.05,0.89,-18.34,-0.85,-2.15,12.08,53.75,513,0.00,0.00
19,-0.03,-0.04,0.89,-18.70,-0.87,-2.10,14.18,57.52,514,0.00,0.00
20,-0.03,-0.04,0.88,-18.34,-0.97,-2.40,14.26,57.67,517,0.00,0.00
21,-0.03,-0.05,0.88,-18.58,-1.15,-2.35,13.21,55.78,512,0.00,0.00
22,-0.03,-0.04,0.90,-18.58,-0.90,-1.92,14.02,57.23,509,0.00,0.00
23,-0.03,-0.04,0.88,-18.58,-1.08,-2.16,13.78,56.80,512,0.00,0.00
24,-0.04,-0.04,0.89,-18.58,-1.01,-2.20,11.68,53.03,509,0.00,0.00
25,-0.03,-0.04,0.88,-18.46,-0.92,-2.38,14.02,57.23,512,0.00,0.00
26,-0.03,-0.04,0.88,-18.46,-0.99,-2.18,11.60,52.88,511,0.00,0.00
27,-0.03,-0.04,0.88,-18.34,-1.02,-2.32,13.21,55.78,511,0.00,0.00
28,-0.03,-0.05,0.89,-18.58,-0.89,-2.34,12.97,55.35,516,0.00,0.00
29,-0.03,-0.04,0.88,-18.46,-1.08,-2.20,12.00,53.61,513,0.00,0.00
30,-0.03,-0.04,0.88,-18.58,-0.97,-2.21,14.50,58.10,514,0.00,0.00
31,-0.03,-0.04,0.89,-18.46,-1.09,-2.25,12.17,53.90,509,0.00,0.00
32,-0.03,-0.04,0.89,-18.34,-0.86,-2.10,13.62,56.51,516,0.00,0.00
33,-0.03,-0.04,0.89,-18.58,-1.18,-2.05,14.18,57.52,511,0.00,0.00
34,-0.03,-0.05,0.90,-18.46,-1.04,-2.36,12.49,54.48,507,0.00,0.00
35,-0.03,-0.04,0.88,-18.70,-1.02,-2.27,14.58,58.25,508,0.00,0.00
36,-0.02,-0.04,0.89,-18.58,-1.02,-2.27,11.52,52.74,510,0.00,0.00
37,-0.02,-0.05,0.89,-18.46,-1.25,-2.27,14.26,57.67,513,0.00,0.00
38,-0.03,-0.04,0.90,-18.58,-1.05,-2.30,11.76,53.17,511,0.00,0.00
39,-0.04,-0.05,0.89,-18.46,-0.94,-2.26,14.58,58.25,513,0.00,0.00
40,-0.03,-0.04,0.90,-18.46,-0.93,-2.40,14.02,57.23,509,0.00,0.00
41,-0.03,-0.04,0.89,-18.34,-0.99,-2.12,11.36,52.45,510,0.00,0.00
42,-0.02,-0.04,0.89,-18.58,-0.99,-2.20,14.18,57.52,506,0.00,0.00
43,-0.02,-0.05,0.89,-18.46,-0.97,-2.26,14.02,57.23,510,0.00,0.00
44,-0.03,-0.04,0.89,-18.34,-0.80,-2.34,11.60,52.88,511,0.00,0.00
45,-0.03,-0.04,0.90,-18.46,-1.05,-2.29,13.37,56.07,510,0.00,0.00
46,-0.03,-0.04,0.89,-18.46,-1.01,-2.43,12.00,53.61,505,0.00,0.00
47,-0.02,-0.04,0.88,-18.46,-0.93,-2.09,12.97,55.35,511,0.00,0.00
48,-0.02,-0.05,0.89,-18.58,-1.14,-2.16,14.34,57.81,510,0.00,0.00
49,-0.03,-0.05,0.88,-18.46,-1.11,-2.11,12.41,54.33,509,0.00,0.00
0,-0.03,-0.04,0.89,-18.58,-1.18,-2.25,13.05,55.49,511,0.00,0.00
1,-0.02,-0.04,0.88,-18.70,-1.10,-2.41,13.29,55.93,509,0.00,0.00
2,-0.03,-0.05,0.89,-18.46,-0.85,-2.36,14.50,58.10,515,0.00,0.00
3,-0.02,-0.05,0.89,-18.34,-0.71,-2.25,14.34,57.81,510,0.00,0.00
4,-0.03,-0.04,0.88,-18.58,-0.98,-2.18,14.34,57.81,511,0.00,0.00
5,-0.03,-0.05,0.89,-18.46,-1.15,-2.24,11.76,53.17,512,0.00,0.00
6,-0.03,-0.04,0.89,-18.34,-1.18,-2.18,11.52,52.74,510,0.00,0.00
7,-0.03,-0.04,0.88,-18.21,-0.95,-2.18,12.81,55.06,502,0.00,0.00
8,-0.03,-0.05,0.89,-18.46,-0.84,-2.15,13.05,55.49,511,0.00,0.00
9,-0.02,-0.04,0.89,-18.46,-1.01,-2.27,12.97,55.35,510,0.00,0.00
10,-0.03,-0.05,0.89,-18.34,-0.99,-2.18,11.60,52.88,513,0.00,0.00
11,-0.03,-0.04,0.89,-18.70,-1.15,-2.04,13.62,56.51,508,0.00,0.00
12,-0.03,-0.04,0.89,-18.46,-1.05,-2.15,14.58,58.25,510,0.00,0.00
13,-0.03,-0.05,0.89,-18.58,-1.05,-2.21,11.68,53.03,503,0.00,0.00
14,-0.03,-0.04,0.89,-18.46,-1.07,-2.42,11.60,52.88,511,0.00,0.00
15,-0.03,-0.05,0.90,-18.58,-1.02,-2.20,12.65,54.77,504,0.00,0.00
16,-0.03,-0.05,0.89,-18.58,-1.02,-2.36,14.18,57.52,512,0.00,0.00
17,-0.03,-0.05,0.89,-18.46,-1.05,-2.21,12.33,54.19,505,0.00,0.00
18,-0.03,-0.04,0.89,-18.46,-1.05,-2.18,14.18,57.52,507,0.00,0.00
19,-0.03,-0.04,0.89,-18.58,-0.95,-2.24,14.26,57.67,520,0.00,0.00
20,-0.03,-0.04,0.88,-18.34,-1.00,-2.33,12.49,54.48,516,0.00,0.00
21,-0.02,-0.04,0.88,-18.34,-1.08,-2.37,12.00,53.61,509,0.00,0.00
22,-0.03,-0.04,0.89,-18.46,-1.05,-2.02,12.81,55.06,503,0.00,0.00
23,-0.03,-0.05,0.89,-18.46,-1.03,-2.18,14.18,57.52,517,0.00,0.00
24,-0.03,-0.05,0.89,-18.58,-0.78,-2.23,14.18,57.52,511,0.00,0.00
25,-0.03,-0.05,0.87,-18.46,-1.01,-2.08,12.73,54.91,511,0.00,0.00
26,-0.03,-0.05,0.89,-18.58,-0.92,-2.30,12.41,54.33,509,0.00,0.00
27,-0.03,-0.05,0.88,-18.46,-0.95,-2.32,12.97,55.35,512,0.00,0.00
28,-0.03,-0.04,0.89,-18.70,-1.12,-2.26,12.89,55.20,509,0.00,0.00
29,-0.02,-0.04,0.89,-18.58,-0.90,-2.16,11.60,52.88,512,0.00,0.00
30,-0.03,-0.04,0.89,-18.58,-1.03,-2.02,13.29,55.93,513,0.00,0.00
31,-0.03,-0.04,0.88,-18.70,-1.01,-2.40,12.81,55.06,512,0.00,0.00
32,-0.03,-0.04,0.88,-18.58,-1.15,-2.19,12.17,53.90,512,0.00,0.00
33,-0.03,-0.05,0.89,-18.46,-1.02,-2.21,14.10,57.38,514,0.00,0.00
34,-0.03,-0.05,0.89,-18.46,-1.03,-2.23,13.29,55.93,505,0.00,0.00
35,-0.03,-0.05,0.88,-18.46,-0.89,-2.08,14.34,57.81,510,0.00,0.00
36,-0.03,-0.05,0.89,-18.46,-1.08,-2.16,12.89,55.20,516,0.00,0.00
37,-0.03,-0.04,0.90,-18.46,-1.15,-2.41,12.08,53.75,510,0.00,0.00
38,-0.03,-0.05,0.88,-18.58,-1.04,-2.13,12.17,53.90,511,0.00,0.00
39,-0.03,-0.04,0.88,-18.70,-1.01,-2.30,12.08,53.75,512,0.00,0.00
40,-0.03,-0.04,0.89,-18.70,-1.06,-2.33,11.92,53.46,510,0.00,0.00
41,-0.03,-0.05,0.89,-18.58,-0.89,-2.09,12.00,53.61,511,0.00,0.00
42,-0.03,-0.05,0.89,-18.46,-1.05,-2.15,12.17,53.90,509,0.00,0.00
43,-0.03,-0.05,0.88,-18.46,-1.18,-1.95,13.05,55.49,510,0.00,0.00
44,-0.03,-0.05,0.89,-18.34,-0.95,-2.08,13.37,56.07,512,0.00,0.00
45,-0.03,-0.04,0.88,-18.58,-0.78,-2.37,12.81,55.06,508,0.00,0.00
46,-0.03,-0.05,0.87,-18.34,-1.05,-2.23,12.49,54.48,515,0.00,0.00
47,-0.03,-0.04,0.88,-18.46,-0.76,-2.19,12.81,55.06,515,0.00,0.00
48,-0.03,-0.05,0.89,-18.46,-1.10,-1.98,12.33,54.19,512,0.00,0.00
49,-0.03,-0.05,0.88,-18.58,-0.95,-2.07,13.70,56.65,508,0.00,0.00
0,-0.03,-0.05,0.88,-18.46,-0.79,-2.05,12.81,55.06,511,0.00,0.00
1,-0.03,-0.05,0.89,-18.58,-0.94,-2.23,14.18,57.52,509,0.00,0.00
2,-0.03,-0.04,0.89,-18.46,-1.01,-2.05,14.26,57.67,511,0.00,0.00
3,-0.02,-0.04,0.89,-18.46,-0.91,-2.26,12.73,54.91,511,0.00,0.00
4,-0.03,-0.05,0.89,-18.58,-1.07,-2.35,14.26,57.67,511,0.00,0.00
5,-0.03,-0.04,0.88,-18.58,-1.18,-2.06,14.26,57.67,509,0.00,0.00
6,-0.03,-0.05,0.89,-18.46,-1.04,-2.08,12.17,53.90,511,0.00,0.00
7,-0.03,-0.05,0.89,-18.58,-1.08,-2.37,12.08,53.75,510,0.00,0.00
8,-0.03,-0.04,0.89,-18.70,-1.07,-2.18,14.34,57.81,513,0.00,0.00
9,-0.03,-0.04,0.89,-18.58,-0.86,-2.07,14.10,57.38,511,0.00,0.00
10,-0.04,-0.05,0.89,-18.58,-0.95,-2.22,12.49,54.48,513,0.00,0.00
11,-0.03,-0.05,0.89,-18.70,-1.11,-2.33,12.25,54.04,512,0.00,0.00
12,-0.03,-0.04,0.89,-18.46,-1.13,-2.10,14.58,58.25,510,0.00,0.00
13,-0.03,-0.05,0.89,-18.58,-1.05,-2.27,12.08,53.75,516,0.00,0.00
14,-0.03,-0.04,0.89,-18.70,-1.02,-2.35,12.08,53.75,511,0.00,0.00
15,-0.03,-0.05,0.88,-18.46,-1.22,-2.21,11.60,52.88,508,0.00,0.00
16,-0.03,-0.04,0.89,-18.46,-1.04,-2.16,11.60,52.88,509,0.00,0.00
17,-0.03,-0.05,0.89,-18.58,-0.88,-2.20,16.52,61.73,510,0.00,0.00
18,-0.03,-0.05,0.88,-18.58,-0.95,-2.30,11.60,52.88,511,0.00,0.00
19,-0.03,-0.04,0.89,-18.34,-1.00,-2.34,10.88,51.58,513,0.00,0.00
20,-0.02,-0.04,0.87,-18.58,-1.23,-2.31,14.50,58.10,512,0.00,0.00
21,-0.03,-0.04,0.89,-18.58,-0.56,-2.52,14.18,57.52,512,0.00,0.00
22,-0.03,-0.04,0.89,-18.46,-0.95,-2.31,12.73,54.91,506,0.00,0.00
23,-0.03,-0.05,0.90,-18.58,-0.92,-2.37,14.82,58.68,511,0.00,0.00
24,-0.03,-0.05,0.89,-18.58,-0.92,-2.15,12.81,55.06,502,0.00,0.00
25,-0.03,-0.04,0.89,-18.46,-0.99,-2.28,13.45,56.22,506,0.00,0.00
26,-0.03,-0.04,0.88,-18.70,-0.92,-2.21,11.52,52.74,508,0.00,0.00
27,-0.03,-0.05,0.89,-18.82,-0.85,-2.18,11.52,52.74,510,0.00,0.00
28,-0.03,-0.04,0.88,-18.58,-0.99,-2.23,11.60,52.88,512,0.00,0.00
29,-0.03,-0.04,0.90,-18.58,-0.78,-1.99,10.31,50.56,514,0.00,0.00
30,-0.02,-0.04,0.89,-18.46,-1.02,-2.34,11.68,53.03,511,0.00,0.00
31,-0.03,-0.04,0.89,-18.46,-0.92,-2.29,13.70,56.65,509,0.00,0.00
32,-0.03,-0.04,0.89,-18.58,-1.07,-2.17,12.73,54.91,509,0.00,0.00
33,-0.03,-0.05,0.88,-18.46,-0.90,-2.24,15.07,59.12,513,0.00,0.00
34,-0.03,-0.05,0.89,-18.21,-0.82,-2.31,14.58,58.25,512,0.00,0.00
35,-0.03,-0.04,0.89,-18.58,-0.95,-2.41,13.05,55.49,510,0.00,0.00
36,-0.02,-0.04,0.89,-18.46,-0.98,-2.26,13.05,55.49,509,0.00,0.00
37,-0.03,-0.05,0.89,-18.46,-0.90,-2.21,12.49,54.48,513,0.00,0.00
38,-0.03,-0.05,0.89,-18.34,-0.94,-2.18,14.34,57.81,505,0.00,0.00
39,-0.03,-0.05,0.88,-18.46,-1.11,-2.33,11.76,53.17,509,0.00,0.00
40,-0.03,-0.05,0.88,-18.82,-0.92,-2.21,14.18,57.52,510,0.00,0.00
41,-0.03,-0.04,0.89,-18.46,-0.95,-2.05,9.91,49.84,513,0.00,0.00
42,-0.03,-0.04,0.89,-18.46,-1.04,-2.36,13.21,55.78,511,0.00,0.00
43,-0.03,-0.04,0.89,-18.58,-1.08,-2.21,14.42,57.96,505,0.00,0.00
44,-0.03,-0.05,0.90,-18.70,-0.92,-2.14,11.44,52.59,515,0.00,0.00
45,-0.03,-0.04,0.90,-18.46,-1.08,-2.41,11.44,52.59,508,0.00,0.00
46,-0.03,-0.05,0.88,-18.34,-1.08,-2.21,14.42,57.96,503,0.00,0.00
47,-0.03,-0.04,0.89,-18.70,-0.91,-2.37,14.74,58.54,514,0.00,0.00
48,-0.03,-0.05,0.89,-18.46,-1.10,-2.19,11.60,52.88,512,0.00,0.00
49,-0.03,-0.05,0.90,-18.58,-1.04,-2.45,14.74,58.54,512,0.00,0.00
0,-0.03,-0.04,0.89,-18.58,-0.87,-2.42,12.49,54.48,508,0.00,0.00
1,-0.03,-0.05,0.89,-18.70,-0.93,-2.24,12.17,53.90,511,0.00,0.00
2,-0.03,-0.05,0.88,-18.46,-1.02,-2.41,9.75,49.55,517,0.00,0.00
3,-0.03,-0.04,0.89,-18.46,-1.02,-2.31,14.18,57.52,511,0.00,0.00
4,-0.03,-0.05,0.89,-18.70,-0.89,-2.21,11.36,52.45,511,0.00,0.00
5,-0.03,-0.05,0.88,-18.58,-0.96,-2.24,12.49,54.48,513,0.00,0.00
6,-0.03,-0.04,0.89,-18.46,-0.98,-2.04,12.17,53.90,514,0.00,0.00
7,-0.03,-0.04,0.89,-18.46,-1.19,-2.12,14.02,57.23,504,0.00,0.00
8,-0.02,-0.05,0.88,-18.58,-1.02,-2.15,14.90,58.83,511,0.00,0.00
9,-0.03,-0.04,0.89,-18.70,-0.88,-2.21,14.42,57.96,513,0.00,0.00
10,-0.02,-0.04,0.89,-18.46,-1.05,-2.23,12.81,55.06,515,0.00,0.00
11,-0.03,-0.04,0.88,-18.70,-0.88,-2.15,13.37,56.07,511,0.00,0.00
12,-0.02,-0.05,0.89,-18.46,-1.10,-2.24,14.02,57.23,514,0.00,0.00
13,-0.03,-0.05,0.89,-18.58,-0.95,-2.21,11.60,52.88,513,0.00,0.00
14,-0.03,-0.04,0.87,-18.58,-1.15,-2.11,11.52,52.74,509,0.00,0.00
15,-0.03,-0.04,0.89,-18.46,-1.18,-2.37,14.99,58.97,503,0.00,0.00
16,-0.03,-0.04,0.88,-18.58,-0.92,-2.29,12.49,54.48,512,0.00,0.00
17,-0.03,-0.05,0.90,-18.70,-1.02,-2.18,14.50,58.10,509,0.00,0.00
18,-0.03,-0.05,0.89,-18.21,-0.99,-2.20,14.99,58.97,508,0.00,0.00
19,-0.03,-0.04,0.88,-18.34,-0.83,-2.19,14.42,57.96,510,0.00,0.00
20,-0.04,-0.05,0.89,-18.58,-1.00,-2.17,12.08,53.75,511,0.00,0.00
21,-0.03,-0.04,0.89,-18.21,-0.89,-2.37,14.34,57.81,515,0.00,0.00
22,-0.03,-0.04,0.89,-18.58,-0.80,-2.26,11.04,51.87,514,0.00,0.00
23,-0.03,-0.04,0.89,-18.46,-1.21,-2.36,11.60,52.88,510,0.00,0.00
24,-0.03,-0.05,0.88,-18.46,-1.03,-2.27,11.84,53.32,509,0.00,0.00
25,-0.03,-0.05,0.88,-18.34,-1.11,-1.96,14.74,58.54,512,0.00,0.00
26,-0.03,-0.04,0.89,-18.46,-0.87,-2.18,12.17,53.90,509,0.00,0.00
27,-0.03,-0.04,0.89,-18.70,-1.16,-2.44,11.84,53.32,514,0.00,0.00
28,-0.02,-0.05,0.89,-18.70,-0.76,-2.08,14.50,58.10,512,0.00,0.00
29,-0.03,-0.04,0.91,-18.46,-1.02,-2.35,11.60,52.88,510,0.00,0.00
30,-0.03,-0.04,0.87,-18.34,-0.82,-2.12,14.58,58.25,511,0.00,0.00
31,-0.03,-0.05,0.89,-18.21,-0.90,-2.21,14.18,57.52,509,0.00,0.00
32,-0.03,-0.04,0.89,-18.46,-0.85,-2.30,11.60,52.88,512,0.00,0.00
33,-0.03,-0.04,0.89,-18.58,-0.82,-2.20,12.00,53.61,509,0.00,0.00
34,-0.03,-0.04,0.88,-18.58,-0.98,-2.37,14.42,57.96,506,0.00,0.00
35,-0.03,-0.04,0.90,-18.70,-1.02,-2.16,12.73,54.91,517,0.00,0.00
36,-0.03,-0.04,0.89,-18.58,-0.92,-2.17,12.65,54.77,509,0.00,0.00
37,-0.03,-0.05,0.88,-18.46,-0.85,-2.05,14.34,57.81,511,0.00,0.00
38,-0.03,-0.05,0.89,-18.21,-0.86,-2.30,12.97,55.35,512,0.00,0.00
39,-0.03,-0.05,0.89,-18.58,-1.18,-2.10,14.18,57.52,507,0.00,0.00
40,-0.03,-0.04,0.89,-18.58,-0.92,-2.30,14.02,57.23,514,0.00,0.00
41,-0.03,-0.05,0.89,-18.46,-0.84,-2.10,14.10,57.38,510,0.00,0.00
42,-0.03,-0.05,0.89,-18.46,-0.85,-2.40,12.49,54.48,510,0.00,0.00
43,-0.04,-0.05,0.88,-18.46,-0.87,-2.31,11.84,53.32,510,0.00,0.00
44,-0.03,-0.04,0.89,-18.58,-1.02,-1.97,13.94,57.09,500,0.00,0.00
45,-0.03,-0.04,0.90,-18.70,-1.04,-2.15,14.74,58.54,513,0.00,0.00
46,-0.03,-0.04,0.89,-18.70,-1.02,-2.40,11.76,53.17,509,0.00,0.00
47,-0.03,-0.04,0.89,-18.58,-0.93,-2.10,14.02,57.23,507,0.00,0.00
48,-0.03,-0.05,0.89,-18.58,-0.92,-2.18,14.10,57.38,513,0.00,0.00
49,-0.03,-0.05,0.89,-18.58,-1.29,-2.33,12.97,55.35,508,0.00,0.00
0,-0.03,-0.04,0.89,-18.46,-1.07,-2.38,14.18,57.52,510,0.00,0.00
1,-0.03,-0.05,0.89,-18.46,-0.79,-2.29,14.10,57.38,508,0.00,0.00
2,-0.03,-0.04,0.88,-18.46,-1.02,-2.35,13.21,55.78,508,0.00,0.00
3,-0.03,-0.04,0.90,-18.58,-0.91,-2.13,10.72,51.29,511,0.00,0.00
4,-0.03,-0.04,0.89,-18.46,-0.99,-2.18,14.66,58.39,512,0.00,0.00
5,-0.03,-0.04,0.88,-18.46,-1.14,-1.99,12.00,53.61,512,0.00,0.00
6,-0.03,-0.04,0.89,-18.21,-1.12,-2.33,11.60,52.88,514,0.00,0.00
7,-0.03,-0.04,0.88,-18.82,-1.18,-2.15,13.21,55.78,507,0.00,0.00
8,-0.03,-0.04,0.88,-18.34,-0.87,-2.15,13.05,55.49,513,0.00,0.00
9,-0.03,-0.04,0.88,-18.70,-0.95,-2.04,12.00,53.61,510,0.00,0.00
10,-0.03,-0.04,0.89,-18.46,-0.92,-2.15,12.17,53.90,514,0.00,0.00
11,-0.03,-0.05,0.89,-18.34,-0.89,-2.21,13.54,56.36,500,0.00,0.00
12,-0.03,-0.05,0.89,-18.58,-1.11,-2.13,14.10,57.38,513,0.00,0.00
13,-0.03,-0.04,0.89,-18.34,-0.92,-2.40,14.18,57.52,512,0.00,0.00
14,-0.03,-0.04,0.89,-18.46,-0.93,-2.48,14.18,57.52,511,0.00,0.00
15,-0.03,-0.05,0.89,-18.70,-1.03,-2.19,14.18,57.52,507,0.00,0.00
16,-0.03,-0.05,0.88,-18.34,-0.87,-2.31,12.89,55.20,510,0.00,0.00
17,-0.03,-0.05,0.89,-18.46,-1.05,-2.25,12.17,53.90,510,0.00,0.00
18,-0.03,-0.05,0.89,-18.58,-1.01,-2.37,14.66,58.39,509,0.00,0.00
19,-0.03,-0.04,0.90,-18.34,-0.85,-2.08,11.60,52.88,512,0.00,0.00
20,-0.02,-0.05,0.89,-18.70,-1.31,-2.35,13.45,56.22,508,0.00,0.00
21,-0.03,-0.05,0.89,-18.58,-1.11,-2.13,14.34,57.81,510,0.00,0.00
22,-0.03,-0.04,0.88,-18.34,-1.14,-2.15,13.86,56.94,506,0.00,0.00
23,-0.03,-0.04,0.89,-18.46,-1.05,-2.27,13.94,57.09,516,0.00,0.00
24,-0.03,-0.04,0.89,-18.34,-0.92,-2.45,12.89,55.20,509,0.00,0.00
25,-0.03,-0.05,0.89,-18.46,-0.82,-2.25,14.58,58.25,510,0.00,0.00
26,-0.03,-0.04,0.88,-18.34,-0.87,-2.29,11.36,52.45,512,0.00,0.00
27,-0.03,-0.05,0.89,-18.82,-0.98,-2.19,11.44,52.59,507,0.00,0.00
28,-0.03,-0.04,0.89,-18.46,-0.87,-2.21,13.37,56.07,511,0.00,0.00
29,-0.03,-0.04,0.88,-18.70,-1.05,-2.17,11.60,52.88,504,0.00,0.00
30,-0.03,-0.05,0.89,-18.58,-0.95,-2.16,11.52,52.74,509,0.00,0.00
31,-0.02,-0.04,0.88,-18.46,-0.98,-2.23,14.42,57.96,508,0.00,0.00
32,-0.02,-0.04,0.90,-18.58,-1.12,-2.27,13.62,56.51,511,0.00,0.00
33,-0.02,-0.05,0.89,-18.58,-1.14,-2.30,15.23,59.41,509,0.00,0.00
34,-0.03,-0.05,0.89,-18.46,-0.73,-2.10,14.18,57.52,510,0.00,0.00
35,-0.03,-0.04,0.89,-18.46,-1.08,-2.13,11.68,53.03,508,0.00,0.00
36,-0.03,-0.04,0.89,-18.58,-1.05,-2.31,12.81,55.06,510,0.00,0.00
37,-0.03,-0.04,0.89,-18.46,-0.90,-2.18,11.60,52.88,507,0.00,0.00
38,-0.03,-0.04,0.89,-18.58,-1.00,-2.10,11.84,53.32,512,0.00,0.00
39,-0.03,-0.04,0.90,-18.46,-1.24,-2.40,13.62,56.51,513,0.00,0.00
40,-0.04,-0.05,0.89,-18.46,-1.11,-2.24,11.04,51.87,510,0.00,0.00
41,-0.03,-0.05,0.89,-18.34,-0.90,-2.37,13.37,56.07,515,0.00,0.00
42,-0.03,-0.04,0.90,-18.70,-0.97,-2.08,11.68,53.03,513,0.00,0.00
43,-0.02,-0.04,0.89,-18.58,-0.90,-2.33,14.58,58.25,509,0.00,0.00
44,-0.03,-0.05,0.88,-18.46,-0.81,-2.18,13.45,56.22,507,0.00,0.00
45,-0.03,-0.04,0.89,-18.46,-1.06,-2.27,11.60,52.88,511,0.00,0.00
46,-0.03,-0.05,0.89,-18.58,-1.11,-2.32,14.34,57.81,507,0.00,0.00
47,-0.03,-0.04,0.89,-18.58,-1.13,-2.11,11.92,53.46,508,0.00,0.00
48,-0.03,-0.04,0.89,-18.70,-0.98,-2.06,11.76,53.17,511,0.00,0.00
49,-0.03,-0.04,0.89,-18.58,-0.95,-2.18,13.70,56.65,511,0.00,0.00
0,-0.03,-0.04,0.89,-18.46,-1.04,-2.35,12.17,53.90,511,0.00,0.00
1,-0.03,-0.05,0.89,-18.46,-0.89,-2.42,12.49,54.48,512,0.00,0.00
2,-0.03,-0.04,0.89,-18.58,-0.81,-2.37,13.21,55.78,505,0.00,0.00
3,-0.03,-0.05,0.88,-18.46,-1.12,-2.18,14.02,57.23,510,0.00,0.00
4,-0.03,-0.04,0.89,-18.46,-1.07,-2.13,14.18,57.52,512,0.00,0.00
5,-0.02,-0.04,0.89,-18.82,-1.00,-2.26,13.78,56.80,510,0.00,0.00
6,-0.03,-0.05,0.88,-18.46,-0.92,-2.20,11.76,53.17,513,0.00,0.00
7,-0.03,-0.05,0.88,-18.21,-1.12,-2.39,12.17,53.90,514,0.00,0.00
8,-0.03,-0.04,0.89,-18.58,-0.65,-2.00,12.49,54.48,511,0.00,0.00
9,-0.04,-0.04,0.89,-18.34,-1.02,-2.35,13.86,56.94,508,0.00,0.00
10,-0.02,-0.05,0.89,-18.46,-0.94,-2.17,14.18,57.52,515,0.00,0.00
11,-0.03,-0.04,0.90,-18.46,-1.05,-2.05,12.25,54.04,514,0.00,0.00
12,-0.03,-0.05,0.89,-18.58,-1.05,-2.32,13.05,55.49,513,0.00,0.00
13,-0.03,-0.04,0.89,-18.70,-1.14,-2.09,12.41,54.33,513,0.00,0.00
14,-0.03,-0.05,0.89,-18.34,-0.79,-2.34,12.49,54.48,510,0.00,0.00
15,-0.03,-0.04,0.89,-18.58,-0.88,-2.37,14.10,57.38,512,0.00,0.00
16,-0.03,-0.04,0.88,-18.70,-0.91,-2.08,14.02,57.23,516,0.00,0.00
17,-0.03,-0.04,0.89,-18.46,-0.95,-2.17,13.78,56.80,509,0.00,0.00
18,-0.03,-0.04,0.90,-18.58,-1.13,-2.11,12.49,54.48,510,0.00,0.00
19,-0.03,-0.04,0.89,-18.70,-1.04,-2.25,14.10,57.38,513,0.00,0.00
20,-0.03,-0.04,0.89,-18.58,-0.99,-2.24,11.92,53.46,512,0.00,0.00
21,-0.03,-0.05,0.89,-18.58,-0.94,-2.41,12.08,53.75,508,0.00,0.00
22,-0.03,-0.04,0.88,-18.46,-1.00,-2.31,12.89,55.20,512,0.00,0.00
23,-0.03,-0.04,0.89,-18.46,-0.96,-2.21,14.10,57.38,514,0.00,0.00
24,-0.03,-0.04,0.88,-18.82,-1.02,-2.05,12.89,55.20,511,0.00,0.00
25,-0.03,-0.04,0.89,-18.58,-0.86,-2.29,12.00,53.61,511,0.00,0.00
26,-0.03,-0.04,0.88,-18.46,-1.05,-2.28,13.05,55.49,509,0.00,0.00
27,-0.03,-0.05,0.89,-18.46,-0.80,-2.09,13.13,55.64,509,0.00,0.00
28,-0.03,-0.04,0.89,-18.46,-1.08,-2.24,12.17,53.90,510,0.00,0.00
29,-0.03,-0.05,0.89,-18.46,-0.89,-2.10,11.60,52.88,511,0.00,0.00
30,-0.03,-0.04,0.88,-18.34,-1.09,-2.00,12.49,54.48,515,0.00,0.00
31,-0.03,-0.05,0.87,-18.46,-0.87,-2.26,14.26,57.67,512,0.00,0.00
32,-0.03,-0.05,0.88,-18.58,-0.94,-2.58,14.18,57.52,512,0.00,0.00
33,-0.03,-0.04,0.88,-18.46,-0.86,-2.02,14.26,57.67,517,0.00,0.00
34,-0.03,-0.05,0.89,-18.70,-0.95,-2.05,11.76,53.17,511,0.00,0.00
35,-0.03,-0.04,0.89,-18.34,-1.21,-1.87,14.18,57.52,508,0.00,0.00
36,-0.02,-0.05,0.88,-18.46,-0.98,-2.18,13.70,56.65,518,0.00,0.00
37,-0.03,-0.04,0.89,-18.21,-1.03,-2.16,12.00,53.61,508,0.00,0.00
38,-0.03,-0.04,0.89,-18.58,-1.00,-2.33,13.70,56.65,510,0.00,0.00
39,-0.03,-0.04,0.88,-18.34,-1.08,-2.03,13.29,55.93,512,0.00,0.00
40,-0.03,-0.05,0.89,-18.58,-1.18,-2.13,12.17,53.90,510,0.00,0.00
41,-0.03,-0.05,0.89,-18.34,-1.07,-2.21,13.37,56.07,517,0.00,0.00
42,-0.03,-0.05,0.89,-18.70,-1.32,-1.99,12.65,54.77,514,0.00,0.00
